user_id,age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label,total_usage,week_usage_dff,addiction_level_encoded
U00001,21,Male,3.23,2.01,0.89,4.55,7.55,248,154,3.95,Medium,Yes,None,0,2.9,0.7200000000000002,0
U00002,24,Other,5.09,3.81,2.24,4.44,7.66,127,71,6.71,Medium,Yes,None,0,6.050000000000001,1.62,0
U00003,31,Other,6.06,1.36,3.83,2.35,4.92,44,106,8.68,High,No,Mild,0,5.19,2.62,1
U00004,32,Other,7.83,5.85,1.51,3.54,8.23,178,107,9.77,High,Yes,Moderate,1,7.359999999999999,1.9399999999999995,2
U00005,25,Male,9.96,5.92,3.42,5.27,6.21,136,177,12.55,Low,No,Severe,1,9.34,2.59,3
U00006,26,Male,9.32,4.26,0.29,3.99,6.9,82,56,10.98,Medium,Yes,Severe,1,4.55,1.6600000000000001,3
U00007,25,Male,10.4,4.93,1.6,0.86,8.61,165,95,11.43,Medium,No,Severe,1,6.529999999999999,1.0299999999999994,3
U00008,26,Male,4.26,4.6,2.16,4.61,6.43,169,117,5.66,Low,No,Moderate,1,6.76,1.4000000000000004,2
U00009,21,Other,4.38,1.38,2.72,3.78,6.23,172,134,6.2,High,Yes,None,0,4.1,1.8200000000000003,0
U00010,35,Other,9.76,4.73,1.36,2.11,5.21,20,82,12.69,Low,Yes,Severe,1,6.090000000000001,2.9299999999999997,3
U00011,34,Female,8.48,1.34,3.05,3.47,8.0,155,15,10.48,Medium,Yes,Moderate,1,4.39,2.0,2
U00012,27,Other,5.16,1.82,2.27,0.93,7.79,228,32,8.1,High,Yes,None,0,4.09,2.9399999999999995,0
U00013,33,Other,11.52,1.41,2.11,3.84,8.84,158,66,13.8,Medium,No,Severe,1,3.5199999999999996,2.280000000000001,3
U00014,32,Male,4.09,1.74,1.35,3.74,5.54,76,16,4.77,High,Yes,None,0,3.09,0.6799999999999997,0
U00015,19,Male,10.74,0.89,0.95,4.18,5.46,53,161,12.68,Low,No,Severe,1,1.8399999999999999,1.9399999999999995,3
U00016,21,Male,3.87,2.87,1.69,3.07,7.78,192,180,4.62,Medium,No,None,0,4.5600000000000005,0.75,0
U00017,24,Other,4.71,2.97,1.69,2.03,5.62,39,128,7.23,High,Yes,None,0,4.66,2.5200000000000005,0
U00018,35,Female,10.52,5.83,3.71,5.17,5.25,144,138,11.55,Medium,Yes,Moderate,1,9.54,1.0300000000000011,2
U00019,18,Female,11.87,1.96,3.14,3.0,6.4,207,157,14.02,Medium,Yes,Moderate,1,5.1,2.1500000000000004,2
U00020,24,Other,11.72,3.69,2.17,4.61,4.76,169,137,13.48,High,Yes,Moderate,1,5.859999999999999,1.7599999999999998,2
U00021,20,Female,10.66,0.88,0.27,5.24,6.32,247,160,11.78,High,Yes,Moderate,1,1.15,1.1199999999999992,2
U00022,34,Female,5.85,1.93,2.68,2.23,5.7,53,180,7.1,Medium,Yes,None,0,4.61,1.25,0
U00023,21,Other,3.66,1.67,1.06,5.63,8.46,245,77,5.08,Low,No,Mild,0,2.73,1.42,1
U00024,34,Female,3.07,4.99,1.2,4.15,8.73,54,82,3.86,Low,Yes,Severe,1,6.19,0.79,3
U00025,24,Male,9.46,1.62,2.54,1.95,6.7,236,28,10.19,Medium,No,Moderate,1,4.16,0.7299999999999986,2
U00026,28,Female,9.94,4.0,1.05,4.58,6.98,129,158,10.46,Low,Yes,Moderate,1,5.05,0.5200000000000014,2
U00027,35,Female,4.33,1.2,1.23,5.44,8.08,240,25,7.08,Low,Yes,None,0,2.4299999999999997,2.75,0
U00028,35,Male,10.96,2.74,2.48,1.35,8.68,241,56,13.9,Low,No,Moderate,1,5.220000000000001,2.9399999999999995,2
U00029,28,Male,10.04,2.76,2.68,4.54,5.62,60,42,11.5,Low,No,Moderate,1,5.4399999999999995,1.4600000000000009,2
U00030,32,Other,6.15,5.01,3.49,1.73,7.47,122,99,7.35,Low,No,Severe,1,8.5,1.1999999999999993,3
U00031,34,Other,6.6,5.9,2.14,5.67,5.02,86,60,8.55,Medium,Yes,Moderate,1,8.040000000000001,1.950000000000001,2
U00032,31,Other,6.11,4.83,1.75,5.91,5.02,250,162,7.09,Low,No,Moderate,1,6.58,0.9799999999999995,2
U00033,35,Other,9.18,5.67,2.95,1.58,6.44,190,99,11.24,High,Yes,Severe,1,8.620000000000001,2.0600000000000005,3
U00034,27,Other,9.0,2.29,2.79,3.55,5.36,190,112,11.19,Low,No,Severe,1,5.08,2.1899999999999995,3
U00035,18,Other,5.73,1.66,3.14,3.84,5.95,133,128,7.92,High,No,None,0,4.8,2.1899999999999995,0
U00036,20,Male,5.55,4.15,2.48,1.01,8.78,80,94,6.61,Low,Yes,Moderate,1,6.630000000000001,1.0600000000000005,2
U00037,25,Male,11.86,3.86,3.07,3.0,8.49,167,64,14.16,Medium,No,Severe,1,6.93,2.3000000000000007,3
U00038,22,Other,8.9,0.53,3.0,4.74,4.98,128,71,9.84,High,No,Moderate,1,3.5300000000000002,0.9399999999999995,2
U00039,25,Male,11.26,1.17,0.53,3.06,6.89,163,167,12.55,Medium,No,Severe,1,1.7,1.290000000000001,3
U00040,33,Male,7.05,4.63,3.36,2.03,8.0,144,175,8.15,Medium,Yes,Severe,1,7.99,1.1000000000000005,3
U00041,26,Female,6.02,5.41,0.32,1.33,6.22,59,69,6.68,Medium,No,Severe,1,5.73,0.6600000000000001,3
U00042,19,Female,4.86,2.81,3.62,3.71,7.63,239,162,6.31,Low,No,Mild,0,6.43,1.4499999999999993,1
U00043,31,Other,7.84,4.54,3.2,5.44,6.7,89,126,9.55,Medium,No,Severe,1,7.74,1.7100000000000009,3
U00044,23,Female,10.56,5.56,3.92,3.44,8.58,171,159,12.72,Low,No,Moderate,1,9.48,2.16,2
U00045,23,Female,3.45,2.59,0.85,2.3,7.93,117,86,5.83,Medium,No,None,0,3.44,2.38,0
U00046,18,Other,9.74,0.79,3.81,1.73,4.81,186,25,12.13,Low,Yes,Moderate,1,4.6,2.3900000000000006,2
U00047,22,Female,5.15,3.1,0.46,5.71,6.59,85,109,6.07,High,Yes,None,0,3.56,0.9199999999999999,0
U00048,21,Other,8.21,5.61,2.3,5.49,6.19,203,65,8.9,High,Yes,Moderate,1,7.91,0.6899999999999995,2
U00049,27,Male,10.65,3.8,0.48,5.91,8.02,108,151,12.22,Medium,Yes,Severe,1,4.279999999999999,1.5700000000000003,3
U00050,31,Female,10.4,1.08,3.84,4.0,8.23,201,54,11.99,High,No,Severe,1,4.92,1.5899999999999999,3
U00051,31,Male,10.43,3.76,1.29,1.85,8.71,91,130,11.54,Medium,No,Severe,1,5.05,1.1099999999999994,3
U00052,33,Male,10.66,1.5,0.85,4.89,6.03,245,167,12.91,Medium,Yes,Moderate,1,2.35,2.25,2
U00053,25,Female,9.48,3.19,3.03,4.3,7.41,145,129,11.96,Low,No,Moderate,1,6.22,2.4800000000000004,2
U00054,25,Female,5.76,3.7,1.89,3.42,6.41,210,155,7.09,High,No,Mild,0,5.59,1.33,1
U00055,26,Other,5.07,4.47,1.26,4.59,8.78,196,62,6.05,High,No,Severe,1,5.7299999999999995,0.9799999999999995,3
U00056,34,Male,8.37,5.89,3.33,2.13,6.12,97,18,10.64,Low,No,Moderate,1,9.219999999999999,2.2700000000000014,2
U00057,35,Male,5.63,5.69,2.55,4.64,4.96,23,161,6.84,Medium,No,Severe,1,8.24,1.21,3
U00058,19,Male,5.27,5.24,0.46,0.86,6.71,167,176,7.49,Low,Yes,Severe,1,5.7,2.2200000000000006,3
U00059,25,Female,4.07,4.7,2.43,4.85,5.52,153,112,5.7,Medium,No,Severe,1,7.130000000000001,1.63,3
U00060,19,Male,8.49,4.57,3.79,1.64,5.45,189,35,9.38,Low,Yes,Moderate,1,8.36,0.8900000000000006,2
U00061,31,Female,7.05,3.77,1.17,1.77,7.68,199,131,7.73,Low,No,Mild,0,4.9399999999999995,0.6800000000000006,1
U00062,21,Male,7.9,4.06,3.63,5.05,4.82,62,93,9.89,High,No,Severe,1,7.6899999999999995,1.9900000000000002,3
U00063,32,Male,9.2,4.35,3.77,3.25,6.72,40,168,9.8,Medium,No,Severe,1,8.12,0.6000000000000014,3
U00064,20,Female,5.06,4.21,3.44,3.73,4.59,215,83,7.0,Low,No,Severe,1,7.65,1.9400000000000004,3
U00065,23,Female,11.97,2.9,3.26,5.83,6.62,124,100,13.27,Low,Yes,Severe,1,6.16,1.299999999999999,3
U00066,33,Female,5.59,5.7,3.25,3.53,6.55,100,79,6.9,Medium,Yes,Severe,1,8.95,1.3100000000000005,3
U00067,19,Male,4.69,2.49,3.03,3.94,7.92,72,83,6.56,Medium,No,Mild,0,5.52,1.8699999999999992,1
U00068,18,Other,11.76,3.85,0.96,1.37,6.98,161,119,12.49,Low,No,Moderate,1,4.8100000000000005,0.7300000000000004,2
U00069,22,Other,7.49,4.44,2.04,2.0,8.26,140,77,9.13,Low,No,Moderate,1,6.48,1.6400000000000006,2
U00070,34,Other,9.72,1.25,0.28,4.75,8.34,107,144,10.89,Low,No,Severe,1,1.53,1.17,3
U00071,33,Male,10.79,2.96,1.94,2.33,7.93,116,131,13.62,Low,Yes,Severe,1,4.9,2.83,3
U00072,31,Male,3.39,4.6,2.82,4.96,6.24,189,53,5.13,Low,Yes,Severe,1,7.42,1.7399999999999998,3
U00073,32,Other,3.9,5.51,0.06,1.29,8.42,59,34,5.57,Medium,No,Severe,1,5.569999999999999,1.6700000000000004,3
U00074,20,Other,10.67,5.19,3.44,2.59,5.92,203,139,13.35,Low,Yes,Moderate,1,8.63,2.6799999999999997,2
U00075,27,Male,11.98,4.61,1.74,1.04,7.35,243,40,13.59,High,No,Moderate,1,6.3500000000000005,1.6099999999999994,2
U00076,28,Female,10.17,2.11,1.5,1.3,6.89,164,61,11.09,Low,No,Moderate,1,3.61,0.9199999999999999,2
U00077,22,Female,5.09,4.01,1.84,4.17,8.55,139,88,7.28,Low,Yes,Severe,1,5.85,2.1900000000000004,3
U00078,27,Other,8.75,2.83,1.0,5.15,5.4,118,138,9.52,Medium,No,Severe,1,3.83,0.7699999999999996,3
U00079,27,Male,3.2,5.07,1.58,0.54,8.39,219,27,5.98,High,No,Severe,1,6.65,2.7800000000000002,3
U00080,29,Female,4.97,1.55,1.0,4.66,7.95,194,50,7.04,High,Yes,Mild,0,2.55,2.0700000000000003,1
U00081,19,Male,8.22,4.53,0.36,2.12,7.86,64,66,9.05,High,No,Severe,1,4.890000000000001,0.8300000000000001,3
U00082,26,Other,11.23,5.69,3.87,2.12,8.42,225,44,12.9,Low,Yes,Moderate,1,9.56,1.67,2
U00083,30,Other,11.71,4.93,1.46,4.85,4.56,157,46,13.35,High,No,Severe,1,6.39,1.6399999999999988,3
U00084,29,Other,3.98,1.79,0.1,5.36,7.03,176,71,6.1,High,No,Mild,0,1.8900000000000001,2.1199999999999997,1
U00085,31,Other,4.05,0.75,0.15,5.98,5.02,80,152,4.89,Medium,No,Mild,0,0.9,0.8399999999999999,1
U00086,22,Male,10.97,4.1,3.33,3.89,8.73,91,23,13.2,Low,No,Severe,1,7.43,2.2299999999999986,3
U00087,29,Other,3.89,4.27,2.18,5.88,6.11,121,85,4.86,Low,No,Moderate,1,6.449999999999999,0.9700000000000002,2
U00088,24,Male,8.78,3.78,0.09,4.83,5.6,52,159,9.79,High,Yes,Moderate,1,3.8699999999999997,1.0099999999999998,2
U00089,28,Male,9.97,4.84,2.38,2.03,8.93,53,153,11.1,Low,Yes,Moderate,1,7.22,1.129999999999999,2
U00090,18,Female,6.22,4.84,2.36,0.59,5.69,52,122,8.04,High,Yes,Severe,1,7.199999999999999,1.8199999999999994,3
U00091,29,Female,7.62,1.1,2.02,5.7,4.7,220,148,8.87,High,Yes,Mild,0,3.12,1.2499999999999991,1
U00092,30,Female,6.84,1.09,2.85,2.94,8.55,102,170,7.71,Low,No,Moderate,1,3.9400000000000004,0.8700000000000001,2
U00093,34,Male,5.65,3.28,1.72,4.86,5.01,187,156,7.95,Low,No,Mild,0,5.0,2.3,1
U00094,31,Male,6.05,2.99,1.66,1.02,6.42,190,80,7.49,Low,No,Mild,0,4.65,1.4400000000000004,1
U00095,20,Female,3.84,1.03,2.96,4.96,7.0,170,158,5.74,High,Yes,Mild,0,3.99,1.9000000000000004,1
U00096,31,Male,10.81,4.47,3.87,3.8,6.08,167,144,11.84,High,No,Moderate,1,8.34,1.0299999999999994,2
U00097,29,Male,10.61,2.52,3.05,3.66,8.13,236,158,13.55,High,Yes,Severe,1,5.57,2.9400000000000013,3
U00098,23,Male,5.46,4.69,3.69,2.43,5.32,56,159,7.6,Low,Yes,Moderate,1,8.38,2.1399999999999997,2
